"Species","Scenario","Subpopulation #","Subpopulation","Correct Productivity Weighting?","Productivity Weighting","Correct Capacity Weighting?","Capacity Weighting","Diversity","Survival","Eggs per Spawner","Productivity","Capacity","Equilibrium Abundance","Juvenile-to-Adult Survival","Juvenile-to-Spawner Survival","Juvenile Productivity","Juvenile Capacity","Juvenile Abundance","Juvenile-to-Adult Productivity","Juvenile-to-Adult Capacity","Juvenile-to-Adult Abundance","...3"
"Coho","Baseline",0,"ALL SUBPOPULATIONS",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.635225,0.00330991133517233,1500.00000000001,4.96486700275852,96578.1242133224,77125.8157910298,0.12743148247711,0.108794395899377,42.9560683830467,901900.227909349,708913.49828683,5.45585687193574,115034.365949754,90337.8980347248,NA
"Coho","Baseline",10,"Grays Harbor Region",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.878895257946847,0.00402613020805173,1500,6.03919531207759,28793.4754350679,24025.7085477337,0.124735629566911,0.107480572952392,52.596875019118,271575.017144572,223535.359812194,6.59857909138064,33833.3459487551,27882.8238366401,NA
"Coho","Baseline",20,"Olympic Mts Region",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.877703927492447,0.00311933860856729,1500,4.67900791285093,26628.0248795054,20937.0695796925,0.127246131959241,0.107050665578039,40.7887568164359,253677.790645779,195580.937929149,5.21982546040138,32225.2098659217,24886.9178364446,NA
"Coho","Baseline",30,"Tidal Chehalis Region",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.55625,0.00297775768914748,1500,4.46663653372123,963.798253544991,748.021069467281,0.125055918800945,0.0903968079136904,40.6922710337961,11364.2816160143,8274.86154357886,5.08995305501297,1421.05146446167,1034.82041328286,NA
"Coho","Baseline",40,"Lower Chehalis Region",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.478260869565217,0.00144056800274668,1500,2.16085200412001,2760.79655006093,1483.1539605652,0.127713577359545,0.115568540870991,18.6239704253139,23970.437156981,12833.5440543534,2.38054241467356,3059.11045379735,1639.01782138279,NA
"Coho","Baseline",50,"Black Hills Region",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.759910485933504,0.00261602153336635,1500,3.92403230004953,8108.76380286025,6042.32724402817,0.126366131401058,0.109427785547302,33.5811751832624,75861.7471928312,55217.4862518467,4.26610221334795,9567.42373180764,6977.62012333696,NA
"Coho","Baseline",60,"Central Lowlands Region",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.522230991844251,0.00224622890860704,1500,3.36934336291057,4867.02882222425,3422.52516142195,0.130114861506748,0.10688279882084,28.6721135929242,47531.3055867965,32021.2906022314,3.74825795842809,6170.50346040479,4166.44579197668,NA
"Coho","Baseline",70,"Black River Region",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.742376856919468,0.0024514294495706,1499.99999999999,3.67714417435588,7734.68071949475,5631.2329478692,0.131973582615892,0.115885158935317,30.2002132325096,68032.4003897257,48593.2193527244,4.00259520750268,8963.28190002548,6413.02124881892,NA
"Coho","Baseline",80,"Middle Chehalis Region",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.0434782608695652,0.00125038800591603,1500,1.87558200887404,871.442288338554,406.817289689893,0.135586542269389,0.117903131961752,15.3667564893597,7700.84886159966,3450.43666712658,2.1085146790853,1029.10714167344,467.832777015208,NA
"Coho","Baseline",90,"Cascade Mts Region",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.247359644246804,0.00216347290036257,1500,3.24520935054386,8319.56097168165,5755.91712840005,0.132129865680768,0.111524118299399,26.611813176033,77838.6008423461,51611.4112011865,3.51034025504028,10293.5584189073,6819.40882960763,NA
"Coho","Baseline",100,"Willapa Hills Region",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.28790141896938,0.0023572567192235,1499.99999999999,3.53588507883523,7463.05881679457,5352.39666279351,0.131384437932461,0.118688768637893,28.8629814210648,63686.9269759083,45096.0670012772,3.77673046960069,8381.57521126161,5924.92141592741,NA
"Coho","Baseline",1010,"Humptulips SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.922562387445331,0.00361854432479753,1500,5.42781648719629,12779.8237305511,10425.3182382049,0.125311473204562,0.106272528964189,48.0747515921018,121974.077061421,98099.8414154414,6.06214775638806,15261.5737067626,12293.0356489029,NA
"Coho","Baseline",1030,"Hoquiam SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.851580135440181,0.00475571910368344,1500,7.13357865552515,4252.93995779184,3656.75392506368,0.123898515146524,0.103229260720391,63.9200788989296,41751.0468037484,35423.6182604119,8.0171360222556,5161.67618510612,4388.93370358235,NA
"Coho","Baseline",1040,"Wishkah SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.861036878674506,0.00432786454553979,1500,6.49179681830968,6927.90285450162,5860.72483762932,0.125237754153787,0.109331630334466,54.8830232624745,64325.0649767225,53605.0255511628,6.90960644009676,8047.49981912616,6713.37301138397,NA
"Coho","Baseline",1050,"Johns SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.702357563850688,0.00388532470146544,1500,5.82798705219816,2854.82495762518,2364.97744560155,0.123437854620013,0.112726683043791,49.5094064455241,25559.4483628222,20979.7483767249,6.12435045760397,3153.5404944957,2589.69513009064,NA
"Coho","Baseline",1060,"Elk River SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.974789915966387,0.00402802805156083,1500,6.04204207734124,1166.82972337015,973.711286187139,0.123006222217672,0.109767848008985,52.3574076904957,10739.2628668773,8870.6420308744,6.44261270259353,1320.89570677196,1091.14416486315,NA
"Coho","Baseline",1070,"Andrews SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",1,0.00482424770558349,1500,7.23637155837524,297.493704373785,256.382810333322,0.121890843887988,0.112359844776837,62.8701539638553,2658.08247765517,2281.80103703894,7.6565913243932,324.042710036166,278.130653989163,NA
"Coho","Baseline",1080,"Chenois Creek SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.926829268292683,0.00199212039480402,1500,2.98818059220603,129.442409922797,86.1242750482122,0.12277067055363,0.110277289647381,25.9369334524922,1200.80307447407,780.979250792258,3.18448948038646,147.418551821188,95.8813463082375,NA
"Coho","Baseline",1100,"Newskah Creek SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.953488372093023,0.00555015405155961,1500,8.3252310773394,378.667727096061,333.1833767425,0.123907019765289,0.117859849670056,69.4456627190634,3220.40447841513,2826.94554316194,8.5989522320702,399.068526674879,350.278397291961,NA
"Coho","Baseline",1110,"Campbell Slough SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.882352941176471,0.00156804653556304,1500,2.35206980334455,5.55036983545696,3.19058874921346,0.120126059888628,0.0379358345053554,61.7071338657142,146.827042436093,84.1048784299985,7.41686912867052,17.6302479602901,10.1031876632078,NA
